,Return
1981-01-31,1.049932343283582
1981-02-28,1.0286949037037036
1981-03-31,1.025098237037037
1981-04-30,0.9804722296296297
1981-05-31,0.9891649051094891
1981-06-30,1.047533496350365
1981-07-31,1.0621620072463767
1981-08-31,1.0385540863309353
1981-09-30,1.083054762589928
1981-10-31,1.048299726618705
1981-11-30,1.0753499642857143
1981-12-31,1.0983598873239437
1982-01-31,1.0846100769230769
1982-02-28,1.1303147636986302
1982-03-31,1.158565244897959
1982-04-30,1.0255692414965987
1982-05-31,1.0600403716216216
1982-06-30,1.0066145
1982-07-31,1.117115706081081
1982-08-31,1.086424889261745
1982-09-30,1.0533268020134228
1982-10-31,1.1448449493243242
1982-11-30,1.033093332214765
1982-12-31,0.9694789155405407
1983-01-31,1.0696171283783784
1983-02-28,1.027972288590604
1983-03-31,1.0317869261744967
1983-04-30,1.060254033557047
1983-05-31,1.0218342913907286
1983-06-30,1.0263347880794702
1983-07-31,1.050846165562914
1983-08-31,1.1073551764705882
1983-09-30,1.0212219675324674
1983-10-31,1.1074076217948718
1983-11-30,0.9793832643312101
1983-12-31,1.086236917721519
1984-01-31,1.0435327987421383
1984-02-29,1.0414317888198759
1984-03-31,1.0639001172839506
1984-04-30,1.0814511349693252
1984-05-31,1.057431469879518
1984-06-30,1.1229592469879517
1984-07-31,1.1269351265060241
1984-08-31,1.055410601796407
1984-09-30,1.060173108433735
1984-10-31,1.0850339457831326
1984-11-30,1.0510589578313252
1984-12-31,1.1221230666666666
1985-01-31,1.070841012121212
1985-02-28,1.0385703493975904
1985-03-31,1.0598918424242425
1985-04-30,1.0494739878787878
1985-05-31,1.0655467108433734
1985-06-30,1.0610596219512196
1985-07-31,1.0603705731707318
1985-08-31,1.0506043963414633
1985-09-30,1.0222996707317074
1985-10-31,1.0723597239263805
1985-11-30,1.1104504110429447
1985-12-31,1.0719637654320988
1986-01-31,1.0786317716049383
1986-02-28,1.1122388343558283
1986-03-31,1.067267981595092
1986-04-30,1.0555706503067483
1986-05-31,1.0338110484848484
1986-06-30,1.0003078484848484
1986-07-31,1.1012005757575758
1986-08-31,1.0227816144578314
1986-09-30,1.0834847921686745
1986-10-31,1.0414332710843373
1986-11-30,1.0461955030120482
1986-12-31,1.0183525787878789
1987-01-31,1.0111717951807229
1987-02-28,1.0069426547619047
1987-03-31,1.068945023668639
1987-04-30,1.0103207823529412
1987-05-31,1.0199907790697675
1987-06-30,1.0006074566473988
1987-07-31,1.079940768786127
1987-08-31,1.077516091954023
1987-09-30,1.0554407183908046
1987-10-31,1.1070737011494252
1987-11-30,1.1726668068181818
1987-12-31,1.0378578057142858
1988-01-31,1.0925158171428573
1988-02-29,1.0695477942857141
1988-03-31,1.05339272
1988-04-30,1.0341238448275862
1988-05-31,1.0624297942857144
1988-06-30,1.0834329022988507
1988-07-31,1.0840762816091953
1988-08-31,1.0431823294797689
1988-09-30,1.0398486744186046
1988-10-31,1.0932644069767443
1988-11-30,1.1371432456140351
1988-12-31,1.0899336411764706
1989-01-31,1.0738554378698226
1989-02-28,1.0699758764705882
1989-03-31,1.0801097869822485
1989-04-30,0.9968379112426036
1989-05-31,1.0748175647058824
1989-06-30,1.0358328284023668
1989-07-31,1.0134991964285713
1989-08-31,1.0741500479041917
1989-09-30,1.0225046586826347
1989-10-31,1.0354241265060242
1989-11-30,1.0804825180722892
1989-12-31,1.017601412121212
1990-01-31,0.9580526402439025
1990-02-28,1.0627092710843373
1990-03-31,0.9986406867469879
1990-04-30,1.104399296969697
1990-05-31,1.0366011916167666
1990-06-30,1.052662377245509
1990-07-31,1.0622495808383234
1990-08-31,1.0092333554216868
1990-09-30,1.1441268614457831
1990-10-31,1.171867921686747
1990-11-30,1.086677174698795
1990-12-31,1.1044239393939395
1991-01-31,1.0415358969696968
1991-02-28,1.0027547636363636
1991-03-31,0.969536
1991-04-30,1.089295018292683
1991-05-31,1.0037374484848485
1991-06-30,1.030350496969697
1991-07-31,1.063188884848485
1991-08-31,1.0687523674698796
1991-09-30,1.0273669341317366
1991-10-31,0.9498165389221557
1991-11-30,1.161820622754491
1991-12-31,0.9295876706586828
1992-01-31,0.9811342202380953
1992-02-29,1.0128242083333334
1992-03-31,1.0487146331360948
1992-04-30,1.0591615177514793
1992-05-31,1.0004309766081871
1992-06-30,0.9946294269005848
1992-07-31,1.0363177660818714
1992-08-31,1.0573599825581395
1992-09-30,1.090466352601156
1992-10-31,1.0455836994219654
1992-11-30,1.0924580867052023
1992-12-31,1.0860072919075145
1993-01-31,1.008698183908046
1993-02-28,1.0411642215909092
1993-03-31,0.9766405795454546
1993-04-30,1.0844022443181818
1993-05-31,0.9961789413407821
1993-06-30,1.0867115194444446
1993-07-31,1.0309013305555554
1993-08-31,1.0157626978021979
1993-09-30,1.0442187267759564
1993-10-31,1.0390571141304348
1993-11-30,1.0731076424731183
1993-12-31,1.0273106470588236
1994-01-31,1.0511602857142857
1994-02-28,1.044702046153846
1994-03-31,1.0554610203045685
1994-04-30,1.0422090304568528
1994-05-31,1.0370317902439024
1994-06-30,1.0681317463414635
1994-07-31,1.0748980676328501
1994-08-31,1.0571717559808613
1994-09-30,1.0602172416267943
1994-10-31,1.029585057416268
1994-11-30,1.0998763632286996
1994-12-31,1.0525876188340806
1995-01-31,1.0841818071748879
1995-02-28,1.0846248008849557
1995-03-31,1.0240302853982302
1995-04-30,1.0174341725663716
1995-05-31,1.0019183377192984
1995-06-30,1.0280385263157894
1995-07-31,1.0384606506550218
1995-08-31,1.0212695869565218
1995-09-30,1.0766050194805195
