,Return
1981-01-31,1.0296562686567163
1981-02-28,1.0039377851851852
1981-03-31,0.9787451407407407
1981-04-30,0.9866766888888889
1981-05-31,1.0444523649635036
1981-06-30,1.0285503138686132
1981-07-31,0.9925324130434783
1981-08-31,0.9951780935251798
1981-09-30,1.117640237410072
1981-10-31,1.0672859064748201
1981-11-30,1.1052234928571427
1981-12-31,1.0944720845070424
1982-01-31,1.0116743251748253
1982-02-28,1.049888352739726
1982-03-31,1.141714462585034
1982-04-30,1.0601039931972789
1982-05-31,1.0880053581081082
1982-06-30,1.0542332281879194
1982-07-31,1.134446587837838
1982-08-31,1.0207411073825503
1982-09-30,1.0212845906040269
1982-10-31,1.057925625
1982-11-30,1.0168651946308724
1982-12-31,0.8838996283783783
1983-01-31,1.0229308108108108
1983-02-28,0.9971870402684564
1983-03-31,1.0414940067114093
1983-04-30,0.9962231409395974
1983-05-31,0.9659936357615894
1983-06-30,1.0432022516556292
1983-07-31,1.003859357615894
1983-08-31,1.013634496732026
1983-09-30,1.039185116883117
1983-10-31,1.0585387692307693
1983-11-30,1.0211796624203822
1983-12-31,1.0689754462025316
1984-01-31,0.9917333144654088
1984-02-29,1.0439468726708074
1984-03-31,1.0227421049382717
1984-04-30,1.04186045398773
1984-05-31,1.026449969879518
1984-06-30,1.0731243493975904
1984-07-31,1.0854860843373495
1984-08-31,1.0222565568862276
1984-09-30,1.063283108433735
1984-10-31,1.039337668674699
1984-11-30,1.0423313795180722
1984-12-31,1.1410510030303032
1985-01-31,1.0508422909090909
1985-02-28,1.0258513734939758
1985-03-31,1.0667314606060605
1985-04-30,1.0380192242424242
1985-05-31,1.0203900060240965
1985-06-30,1.063036286585366
1985-07-31,0.9969472987804878
1985-08-31,1.0042455731707316
1985-09-30,1.0137454329268292
1985-10-31,1.0544649386503069
1985-11-30,1.091382116564417
1985-12-31,1.022893888888889
1986-01-31,0.9761954259259259
1986-02-28,1.0215302116564418
1986-03-31,1.059680018404908
1986-04-30,1.070133871165644
1986-05-31,1.0072353696969698
1986-06-30,1.0245089333333335
1986-07-31,1.092933787878788
1986-08-31,1.0884028162650603
1986-09-30,1.0231246295180723
1986-10-31,1.0410865120481927
1986-11-30,1.0423039457831325
1986-12-31,1.0355383272727274
1987-01-31,0.9912609879518072
1987-02-28,1.0055157738095237
1987-03-31,0.9553063550295858
1987-04-30,1.0031845
1987-05-31,1.0627189156976744
1987-06-30,1.030459774566474
1987-07-31,1.08731637283237
1987-08-31,1.0510132988505747
1987-09-30,1.0465822701149425
1987-10-31,1.0556529022988506
1987-11-30,1.0203271704545456
1987-12-31,1.072413657142857
1988-01-31,0.9950707942857143
1988-02-29,1.0887950114285714
1988-03-31,1.0003271828571427
1988-04-30,1.0232315632183908
1988-05-31,1.0582063257142857
1988-06-30,0.9992750632183908
1988-07-31,1.0629899137931034
1988-08-31,1.069708161849711
1988-09-30,1.0432744069767441
1988-10-31,1.0228995755813954
1988-11-30,1.1412011052631579
1988-12-31,1.1041652470588235
1989-01-31,1.08628224852071
1989-02-28,1.010254494117647
1989-03-31,1.1293928402366864
1989-04-30,1.0025882840236686
1989-05-31,1.0571798647058823
1989-06-30,1.043069520710059
1989-07-31,0.9878051785714286
1989-08-31,1.0325122335329342
1989-09-30,1.0391794431137724
1989-10-31,1.009217674698795
1989-11-30,1.0349409156626506
1989-12-31,0.9487756666666667
1990-01-31,1.0636209024390244
1990-02-28,1.078776530120482
1990-03-31,1.0155964879518071
1990-04-30,1.0307724484848484
1990-05-31,0.9648571916167664
1990-06-30,1.0109604131736527
1990-07-31,1.0298969221556886
1990-08-31,1.0275140481927711
1990-09-30,1.073040734939759
1990-10-31,1.0548503614457831
1990-11-30,1.0761306987951806
1990-12-31,1.0463253515151516
1991-01-31,1.0149673515151514
1991-02-28,1.0864267575757576
1991-03-31,1.0459778121212122
1991-04-30,1.0049858719512195
1991-05-31,1.0403414303030303
1991-06-30,1.0393206424242425
1991-07-31,1.0364795030303031
1991-08-31,1.017474969879518
1991-09-30,1.0343383233532935
1991-10-31,1.00396
1991-11-30,1.1005720359281437
1991-12-31,1.0799614071856285
1992-01-31,0.9759365833333333
1992-02-29,0.9940367916666667
1992-03-31,0.9966671360946746
1992-04-30,1.0370466479289941
1992-05-31,1.0103635497076024
1992-06-30,0.9828488479532164
1992-07-31,0.9850149415204679
1992-08-31,1.0729335959302326
1992-09-30,1.0678310404624278
1992-10-31,1.0795872254335261
1992-11-30,1.0876598959537571
1992-12-31,1.1396504682080923
1993-01-31,0.9952993218390804
1993-02-28,1.0002268863636363
1993-03-31,0.9947828409090909
1993-04-30,1.0124922386363637
1993-05-31,1.0415787094972067
1993-06-30,1.0347417777777779
1993-07-31,1.019231911111111
1993-08-31,1.0345721456043955
1993-09-30,1.0361579234972678
1993-10-31,1.0049110434782609
1993-11-30,1.040548061827957
1993-12-31,1.0143773743315507
1994-01-31,0.9997374656084657
1994-02-28,1.0312789538461538
1994-03-31,1.008423502538071
1994-04-30,1.0020483350253806
1994-05-31,1.0245658804878048
1994-06-30,1.043336512195122
1994-07-31,1.0419464251207728
1994-08-31,1.0155270956937799
1994-09-30,1.0304225933014355
1994-10-31,1.0351965071770335
1994-11-30,1.046701322869955
1994-12-31,1.023171408071749
1995-01-31,1.0667407219730942
1995-02-28,1.0041902256637167
1995-03-31,1.0324419424778761
1995-04-30,1.051962778761062
1995-05-31,1.0223531315789474
1995-06-30,1.0365098640350876
1995-07-31,1.0248169432314411
1995-08-31,0.9997750434782608
1995-09-30,1.0507154069264069
