,Return
1981-01-31,1.0070101205858193
1981-02-28,1.005059771591989
1981-03-31,1.0037857580753395
1981-04-30,1.0010304594876507
1981-05-31,1.0046088551258183
1981-06-30,1.0126166262116376
1981-07-31,1.0066307784662605
1981-08-31,1.0019656280762654
1981-09-30,1.0168883505331838
1981-10-31,1.0103796235984253
1981-11-30,1.0074322403147968
1981-12-31,1.0068793059454206
1982-01-31,1.004892225097357
1982-02-28,1.0039142979479083
1982-03-31,1.006524671480738
1982-04-30,1.0067053126894456
1982-05-31,1.016757716949366
1982-06-30,1.00562886518951
1982-07-31,1.008340547457725
1982-08-31,1.0096758317328702
1982-09-30,0.9953260293185913
1982-10-31,0.9968570439854754
1982-11-30,1.0048403717486678
1982-12-31,0.9999103167428174
1983-01-31,1.0068753745096375
1983-02-28,0.9983599020222779
1983-03-31,1.0035496905065597
1983-04-30,0.9869233812262261
1983-05-31,1.0001129893288376
1983-06-30,1.0049666994494515
1983-07-31,1.0019451964185464
1983-08-31,1.0160142522949485
1983-09-30,1.005088492814276
1983-10-31,1.0069423933440529
1983-11-30,1.000737717554723
1983-12-31,1.009408516385519
1984-01-31,1.007394919712587
1984-02-29,1.0048750227294285
1984-03-31,1.0097971107269694
1984-04-30,1.0088461489965475
1984-05-31,1.0105661480217762
1984-06-30,1.011771189046002
1984-07-31,1.0058110047975124
1984-08-31,1.0088221825857848
1984-09-30,1.0161449133299196
1984-10-31,1.0128593117872735
1984-11-30,1.00575867224541
1984-12-31,1.0089221261253336
1985-01-31,1.005235343832706
1985-02-28,1.0064410782112985
1985-03-31,1.0127106664443328
1985-04-30,1.0088975639582123
1985-05-31,1.0019758092000697
1985-06-30,1.0024140369137897
1985-07-31,1.0007606160440528
1985-08-31,1.010565736540893
1985-09-30,1.0067199493627597
1985-10-31,1.0120927635244825
1985-11-30,1.0100652635946399
1985-12-31,0.9928560391427805
1986-01-31,0.9962689984917634
1986-02-28,1.015275760091429
1986-03-31,1.0004349204551077
1986-04-30,1.0082002963640557
1986-05-31,1.0036355091838418
1986-06-30,1.005901361236186
1986-07-31,1.009536874075969
1986-08-31,1.0051677463325523
1986-09-30,1.0051333040852852
1986-10-31,1.0030717324445693
1986-11-30,1.0058695454889641
1986-12-31,1.0001892639700538
1987-01-31,0.9914427344358224
1987-02-28,0.9987724682033899
1987-03-31,1.0031834970447313
1987-04-30,1.0021452991647979
1987-05-31,1.0120365574868597
1987-06-30,1.002989101948816
1987-07-31,1.009444799729915
1987-08-31,1.0001665175293297
1987-09-30,1.0157799886119117
1987-10-31,1.0105269379097022
1987-11-30,1.0127295137073524
1987-12-31,1.0167229666279838
1988-01-31,1.0067798394426943
1988-02-29,0.9968070406204509
1988-03-31,0.9995035093880087
1988-04-30,1.0025739531940903
1988-05-31,1.0094496059809732
1988-06-30,1.0106032339541018
1988-07-31,1.0081654159867115
1988-08-31,1.0063350750249023
1988-09-30,1.0056389350472263
1988-10-31,1.0128045618659982
1988-11-30,1.0116538538005873
1988-12-31,1.0153139120931811
1989-01-31,1.0011464130290684
1989-02-28,1.0049407879512762
1989-03-31,1.00682743753802
1989-04-30,1.0049608801793262
1989-05-31,1.0039110863556042
1989-06-30,1.0071540423939067
1989-07-31,1.0052711274918034
1989-08-31,1.0074293422738414
1989-09-30,1.0038988190354705
1989-10-31,1.0091663334595014
1989-11-30,1.0058471308923858
1989-12-31,0.9997053526610353
1990-01-31,1.0053251667424414
1990-02-28,1.0045296959090562
1990-03-31,1.004114739277465
1990-04-30,0.9994319448905626
1990-05-31,1.0002412594037475
1990-06-30,1.0036282407486454
1990-07-31,1.009268604207182
1990-08-31,1.0077431529153693
1990-09-30,1.0124999181849494
1990-10-31,1.0194131698681328
1990-11-30,1.0210862849133706
1990-12-31,0.9998418421184742
1991-01-31,1.0091953409223196
1991-02-28,1.0132648109344775
1991-03-31,0.9951407857225314
1991-04-30,1.015239277877048
1991-05-31,1.0049041748643914
1991-06-30,0.993252523502704
1991-07-31,1.0052097486619347
1991-08-31,1.000793738976314
1991-09-30,0.9921598048460822
1991-10-31,1.002051906818252
1991-11-30,1.0151649564285927
1991-12-31,0.9979990144620957
1992-01-31,0.9935475244036777
1992-02-29,1.000501830555276
1992-03-31,1.0060339920400436
1992-04-30,1.0060341085717661
1992-05-31,1.0001483595107257
1992-06-30,1.009648420881819
1992-07-31,1.0082544872094534
1992-08-31,1.0070306642951437
1992-09-30,1.0142940674708847
1992-10-31,1.0002294422502114
1992-11-30,1.0101690614407495
1992-12-31,1.0036534348203985
1993-01-31,1.0125805648800967
1993-02-28,1.0009556397432766
1993-03-31,0.998531172791043
1993-04-30,0.9988966760241663
1993-05-31,1.001834576167219
1993-06-30,1.0038364953743553
1993-07-31,1.0051361184427818
1993-08-31,1.0036503612812337
1993-09-30,1.0032989339515441
1993-10-31,1.0080222980509614
1993-11-30,1.0136898119380473
1993-12-31,1.0039407306129855
1994-01-31,1.0095477473397505
1994-02-28,1.0041315369845205
1994-03-31,1.0106187413891463
1994-04-30,0.9998922369405454
1994-05-31,1.0093772402698458
1994-06-30,1.0010276036642938
1994-07-31,1.0057744978478975
1994-08-31,1.000289433834061
1994-09-30,1.001116176859615
1994-10-31,1.0059560781263301
1994-11-30,1.0099310968444368
1994-12-31,0.9991406091255726
1995-01-31,1.0070986997414408
1995-02-28,1.0075293439194566
1995-03-31,1.0071706805252063
1995-04-30,1.003320644074035
1995-05-31,0.9960013804984345
1995-06-30,0.9996744275717078
1995-07-31,1.006891810937844
1995-08-31,1.0034154439035148
